open,high,low,close,tick_volume,year,month,day
236,239.12,233.35,237.42,4246,2015,5,15
235.5,237.82,231.81,232.41,3308,2015,5,18
232.41,234.85,231.92,232.7,3780,2015,5,19
232.69,235.8,231.85,233.76,3574,2015,5,20
233.78,237.29,233.34,235.31,3556,2015,5,21
235.01,242.54,234.81,241.2,5399,2015,5,22
242.12,243.01,237,238.3,4687,2015,5,25
238.2,240.33,236.42,238.58,4894,2015,5,26
238.5,240.1,237.5,238.34,4642,2015,5,27
238.35,240,237.88,239.22,3088,2015,5,28
239.12,239.83,237.13,237.45,3401,2015,5,29
232.08,232.61,223.58,224.11,6713,2015,6,1
224.01,228.88,222.33,227.92,5535,2015,6,2
227.92,229.14,226,227.66,4747,2015,6,3
228,228.5,225.2,226.4,3327,2015,6,4
226.39,228,224.14,226.1,3977,2015,6,5
225.9,230.66,224.9,229.5,3560,2015,6,8
229.5,232.53,227.92,230.4,4750,2015,6,9
230.7,232.01,229.3,230.35,3210,2015,6,10
230.35,231.8,229.5,230.13,2757,2015,6,11
230.11,233.04,229.95,231.81,2936,2015,6,12
234.41,239.57,233.6,238.59,4715,2015,6,15
238.5,253.37,236.15,246.02,9067,2015,6,16
246.02,256.75,245,250.81,13218,2015,6,17
250.43,251.51,244.05,248.39,8444,2015,6,18
248.39,249.92,242.16,243.36,7980,2015,6,19
242.48,249.24,241.27,248.4,5525,2015,6,22
248.55,248.87,243.13,245,5486,2015,6,23
245,246.01,240.6,241.94,5818,2015,6,24
241.85,245.3,240.1,243.22,5600,2015,6,25
243,244.54,241,242.27,3668,2015,6,26
246,256.18,245.8,254.21,7383,2015,6,29
254.21,269.3,254.16,260.8,12272,2015,6,30
260.85,264.61,255,257.5,8198,2015,7,1
257.5,259.95,253.5,255,6805,2015,7,2
255.21,255.81,252.5,253.62,5658,2015,7,3
266.01,272.01,263.12,269.34,12219,2015,7,6
269.8,270.13,260.07,261.64,9387,2015,7,7
261.39,271,261,263.71,10321,2015,7,8
263.7,270.88,263,269.91,12047,2015,7,9
270.05,298.91,263.32,284,20136,2015,7,10
304.33,308.44,270,282.73,14576,2015,7,13
282.74,292.44,282.44,284.99,7789,2015,7,14
284.99,289.02,282.08,285,6971,2015,7,15
285,286.95,271,274.97,12881,2015,7,16
275.96,279.19,269.3,274,10428,2015,7,17
268.66,273.99,264.59,273,3951,2015,7,20
272,278.13,270.78,273.52,5815,2015,7,21
273.52,274.42,269.11,272.51,5543,2015,7,22
272.51,273.99,268.86,273.15,3532,2015,7,23
273.15,288.68,271,284.14,8630,2015,7,24
286.36,288.4,280.5,286.7,5907,2015,7,27
286.7,290,284.61,287.7,6259,2015,7,28
287.7,288.58,282.36,284.94,5207,2015,7,29
284.94,285.98,281.56,281.6,5180,2015,7,30
281.6,284.14,276.9,280.41,6019,2015,7,31
279.28,282.7,277,279.8,4526,2015,8,3
279.79,282.19,276.89,281.52,4935,2015,8,4
281.53,281.84,276.45,278.5,4385,2015,8,5
278.5,279.12,273,273.58,4563,2015,8,6
273.58,275.8,269.12,270.75,5579,2015,8,7
257.8,263.36,256.87,259.75,5627,2015,8,10
259.75,262.71,257,262.24,5442,2015,8,11
262.11,269.26,259.84,263.21,7811,2015,8,12
263.21,264.31,257.5,261.27,5959,2015,8,13
261.27,265,258,263,5818,2015,8,14
255.79,258,251.94,255.47,5355,2015,8,17
255.47,255.95,240.35,245,6207,2015,8,18
245,247.63,218,218.69,11645,2015,8,19
218.69,234.56,211.05,230.51,10184,2015,8,20
230.51,233.16,225.93,228.5,7140,2015,8,21
221.67,224.03,201.19,208.67,11736,2015,8,24
208.6,222.69,192.55,218.46,17830,2015,8,25
218.41,227.34,216.22,223.81,14483,2015,8,26
223.81,225.16,220.95,223.34,10629,2015,8,27
223.21,230.96,216.18,228.04,12540,2015,8,28
224.12,229,222.34,227.52,8510,2015,8,31
227.52,229.32,221.99,224.7,11692,2015,9,1
224.62,227,220.75,225.55,11184,2015,9,2
225.97,226,222.5,223.84,6431,2015,9,3
224.08,227,222.83,226,8502,2015,9,4
236,241.87,233.52,238.28,9106,2015,9,7
238.69,245.8,237.39,242.83,8384,2015,9,8
242.98,243.37,233.01,236.5,8253,2015,9,9
236.5,239,230.56,235.87,8995,2015,9,10
235.87,238.96,235.79,237.01,5326,2015,9,11
227.25,229.94,226.12,228.46,6707,2015,9,14
228.46,229.83,225.99,227.24,5689,2015,9,15
226.7,229.5,224.8,226.57,5208,2015,9,16
226.4,234.59,226.1,232.55,6938,2015,9,17
232.5,234.03,228.48,230.04,5825,2015,9,18
230.14,230.31,225.58,225.86,5639,2015,9,21
225.87,230.48,224,227,8063,2015,9,22
227,230.33,226.44,228.89,6989,2015,9,23
228.88,234.4,228,233.56,5725,2015,9,24
233.68,236,230.97,232.5,7645,2015,9,25
231.3,237.19,230.82,235.33,7469,2015,9,28
235.32,237.69,234,236.64,9365,2015,9,29
236.5,237,234.66,234.86,6455,2015,9,30
234.87,237,232.41,236.02,7959,2015,10,1
236,237,234.16,234.26,5403,2015,10,2
236.13,239.45,234.9,238.28,5689,2015,10,5
238.27,245.06,237,242.85,9052,2015,10,6
242.91,244.93,242.51,243.32,8617,2015,10,7
243.32,243.66,239.76,241.12,7513,2015,10,8
241.12,242.57,239.39,241.54,5441,2015,10,9
243.5,244.95,241.91,242.36,12326,2015,10,12
242.35,248.04,240.3,245.97,14812,2015,10,13
245.96,252.8,245,249.51,15381,2015,10,14
249.51,255.96,249.04,253.99,13026,2015,10,15
253.99,264.57,252.5,258.8,11183,2015,10,16
258.52,262.2,256.88,260.49,8153,2015,10,19
260.49,269.76,260,267.5,8884,2015,10,20
267.5,268.95,260.5,263.87,7659,2015,10,21
264.15,272.28,262.23,268.65,7297,2015,10,22
268.65,272.9,267,271.49,7369,2015,10,23
280.11,282.17,274.28,278.62,10279,2015,10,26
278.62,292.05,278,288.91,10244,2015,10,27
288.92,299.94,286.46,296.57,12424,2015,10,28
296.56,311.9,295,303.4,12359,2015,10,29
303.4,321.21,301.5,308.89,17317,2015,10,30
308.9,337,304.42,330.02,14945,2015,11,2
330.01,398.52,326.86,366.85,20341,2015,11,3
366.85,459.2,364,412.27,26086,2015,11,4
412.27,439.33,363,402.86,22400,2015,11,5
402.87,402.95,336.22,360.19,20718,2015,11,6
360.11,375.89,354.1,370.74,11395,2015,11,9
370.14,375,333.03,334.23,12274,2015,11,10
334.23,343.25,303.75,306.6,14078,2015,11,11
306.6,339.5,296,323.67,14881,2015,11,12
323.67,337.78,321.74,330.25,11355,2015,11,13
315.23,327.77,310.77,327.36,9191,2015,11,16
327.37,333.99,323.78,330.67,10008,2015,11,17
330.67,332.3,326.5,331.88,11784,2015,11,18
331.92,333.25,321.04,324,13025,2015,11,19
324,324,309,319.74,14088,2015,11,20
320.83,322,318.9,320.04,10367,2015,11,23
320.04,320.07,314.9,318.31,11028,2015,11,24
318.31,328.74,315.35,324.57,12373,2015,11,25
324.57,366.5,324.51,339.05,18489,2015,11,26
339.04,358.88,339,352.44,15928,2015,11,27
364.72,379.8,363.69,374.52,16304,2015,11,30
374.55,376.81,353,357.88,14659,2015,12,1
357.87,361.08,345,355.96,14906,2015,12,2
355.94,364.93,351.76,356.83,13561,2015,12,3
356.84,359.98,352.88,356.6,12314,2015,12,4
388,390.68,379.2,386.77,15308,2015,12,7
386.77,393.17,384,391.74,15786,2015,12,8
391.7,421.96,390.92,411.52,18179,2015,12,9
411.52,417.09,405.95,414.35,14190,2015,12,10
414.35,445,411.98,440.77,15833,2015,12,11
432.67,443.67,423.96,437.4,14152,2015,12,14
437.41,457.6,437.01,456.4,15472,2015,12,15
456.21,459.24,435.56,450.2,16975,2015,12,16
450.25,451.16,440,448.95,14987,2015,12,17
448.95,458.76,446.89,456.03,13372,2015,12,18
436.16,440.66,425.33,434,16301,2015,12,21
434,443,433.42,437.42,14165,2015,12,22
437.13,443.59,433.5,442.41,11598,2015,12,23
442.41,456.32,439.99,449.92,13389,2015,12,24
449.99,453.5,445.87,449.57,11534,2015,12,25
421.79,428.43,416.44,420,16656,2015,12,28
419.74,433.39,418.5,431.16,14917,2015,12,29
431.16,434.5,422.39,425.81,13850,2015,12,30
425.81,430,417.66,429.5,16276,2015,12,31
429.49,430.5,424.7,430.32,14591,2016,1,1
424.94,432.86,424.29,431.99,13628,2016,1,4
431.98,434.15,429.5,431.28,12670,2016,1,5
431.28,431.57,425.97,429.59,11106,2016,1,6
429.59,452.09,428.84,452.05,13540,2016,1,7
452.06,454.98,443,448.43,6626,2016,1,8
443.43,447.99,441.59,446.61,15065,2016,1,11
446.61,447.83,443.02,445.01,13631,2016,1,12
445,445.65,426.5,427.86,14891,2016,1,13
428.08,434.02,427.5,431.63,13529,2016,1,14
431.63,431.63,384.98,386.95,17951,2016,1,15
387.73,388.1,374.75,384.19,16591,2016,1,18
384.19,387.83,379,382.03,15651,2016,1,19
382.03,417.95,375.36,410.67,19979,2016,1,20
410.67,425.51,402.85,407.07,18519,2016,1,21
407.07,413.97,380,384.61,15497,2016,1,22
400.58,402.85,390.6,393.86,16232,2016,1,25
393.85,398.77,391.63,395.98,13955,2016,1,26
395.98,398.4,392.3,395.86,16841,2016,1,27
395.87,396.62,381.68,384.95,14357,2016,1,28
384.94,385.21,366.5,378.79,17798,2016,1,29
380.56,382.01,369.97,374.44,17009,2016,2,1
374.44,381.12,374.28,378,14186,2016,2,2
378,379.5,365.16,369.2,14899,2016,2,3
369.2,391.7,365.94,387.36,17131,2016,2,4
